school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4152031-tg231,0,2,11,1,22,0,0,26,0,0,2,7,4,0
2011008-mz85,15,6,28,4,4,0,5,1,4,5,0,0,1,0
3072001-rj51,0,0,27,0,0,0,20,0,0,0,0,0,0,0
4231084-tg184,0,0,0,0,0,0,9,5,15,0,0,0,0,0
2011005-mz82,5,5,4,2,2,0,3,1,4,3,0,0,0,0
4202047-tg247,5,5,4,2,3,0,1,1,4,3,0,0,0,0
2011010-mz87,5,5,4,2,2,0,2,1,4,3,0,0,0,0
2041011-mz54,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202098-tg298,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202073-tg273,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4202018-tg218,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041015-mz58,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041013-mz56,5,5,4,2,2,0,1,1,4,3,0,0,0,0
-nan,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041008-mz51,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011006-mz83,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041004-mz47,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041003-mz46,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041002-mz45,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2011002-mz79,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041006-mz49,5,5,4,2,2,0,1,1,4,3,0,0,0,0
2041001-mz44,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231036-tg136,11,2,1,3,0,1,0,0,0,0,0,0,0,0
4152008-tg208,1,1,3,5,1,0,1,0,1,0,2,1,1,0
4231058-tg158,5,5,2,1,0,2,1,0,0,0,0,0,0,0
4122100-tg300,0,0,6,2,0,0,0,0,1,0,0,0,0,0
4152012-tg212,1,0,1,0,0,0,0,0,0,0,2,4,0,0
1011007-ct7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4183023-tg23,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4173079-tg79,0,3,0,0,0,0,0,0,0,0,0,0,0,0
4231051-tg151,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4141035-tg135,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4202032-tg232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011024-ct24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221034-tg134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231019-tg119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152033-tg233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
