school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
4202003-tg203,0,0,2,0,5,0,2,2,2,0,2,8,0,0
4202004-tg204,0,0,0,0,10,0,0,0,0,6,0,1,0,0
4152012-tg212,0,0,1,0,7,0,0,4,0,1,0,0,0,0
4231084-tg184,0,0,0,0,8,0,0,4,0,0,0,0,0,0
4202058-tg258,0,0,2,0,1,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,1,2,0,0,0,0,0,0,0,0
4231036-tg136,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4141008-tg108,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4141009-tg109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141045-tg145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4152013-tg213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183023-tg23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221067-tg167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231046-tg146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231082-tg182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
