school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4183023-tg23,4,3,2,0,6,3,5,3,3,2
4231036-tg136,1,3,1,1,9,1,10,1,1,1
3051032-rj32,0,5,4,0,3,2,7,0,0,0
4231058-tg158,1,5,2,0,4,1,1,4,1,0
4141009-tg109,0,2,1,1,3,3,6,1,0,0
4152012-tg212,0,3,0,0,4,0,0,2,1,0
4221040-tg140,0,0,1,0,2,1,0,3,1,0
3051002-rj2,0,1,1,0,3,0,0,3,0,0
3051005-rj5,0,1,0,0,3,2,1,0,0,0
4202010-tg210,0,4,0,0,2,0,0,0,0,0
1011028-ct28,0,2,1,0,0,2,0,0,0,0
3072026-rj76,0,1,1,0,2,1,0,0,0,0
4202004-tg204,0,0,0,0,0,1,3,0,0,0
1011020-ct20,0,0,1,0,0,1,1,1,0,0
4221017-tg117,1,3,0,0,0,0,0,0,0,0
4141008-tg108,0,0,1,0,0,1,0,0,0,0
4152002-tg202,1,0,0,0,0,1,0,0,0,0
3072024-rj74,0,0,0,0,1,0,1,0,0,0
3072032-rj82,1,1,0,0,0,0,0,0,0,0
4221095-tg195,1,0,0,0,0,0,0,1,0,0
3072008-rj58,0,0,0,0,0,0,0,2,0,0
4231046-tg146,0,0,0,0,0,1,0,0,0,0
4231079-tg179,0,1,0,0,0,0,0,0,0,0
1011011-ct11,0,0,0,0,0,0,1,0,0,0
3072050-rj100,0,0,0,0,0,0,0,1,0,0
4152013-tg213,0,0,0,0,1,0,0,0,0,0
1011013-ct13,0,1,0,0,0,0,0,0,0,0
3072030-rj80,0,0,0,0,1,0,0,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,0
3051008-rj8,0,0,0,0,1,0,0,0,0,0
1011019-ct19,0,0,0,0,1,0,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,1,0,0
4231084-tg184,0,0,0,0,0,0,0,1,0,0
