school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,2,1,1,0,5,1,7,1,0,0
4221026-tg126,2,2,0,0,7,1,1,2,3,0
4231058-tg158,0,1,0,0,4,0,1,2,0,0
4141009-tg109,1,1,0,0,0,0,5,0,0,0
4202010-tg210,1,1,0,0,2,0,0,0,0,0
3051032-rj32,0,1,0,0,1,0,1,0,0,0
4231046-tg146,1,1,0,0,0,1,0,0,0,0
4141008-tg108,0,1,1,0,0,1,0,0,0,0
1011018-ct18,0,0,0,0,0,0,0,1,0,1
3072032-rj82,0,0,0,0,1,0,0,1,0,0
4152012-tg212,0,1,0,0,0,0,0,0,0,0
3051005-rj5,0,0,0,0,1,0,0,0,0,0
3072036-rj86,0,0,0,0,1,0,0,0,0,0
4221017-tg117,1,0,0,0,0,0,0,0,0,0
4221040-tg140,0,0,0,0,0,0,0,1,0,0
4221067-tg167,0,0,0,0,0,0,0,1,0,0
4221068-tg168,0,0,0,0,1,0,0,0,0,0
4231027-tg127,0,0,0,0,0,0,0,1,0,0
3072013-rj63,0,0,0,0,1,0,0,0,0,0
3051050-rj50,0,0,0,0,1,0,0,0,0,0
4202003-tg203,0,1,0,0,0,0,0,0,0,0
