school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072036-rj86,6,5,8,7,2,1,7,78,4,7,1,4,0,0
4231036-tg136,25,29,16,5,5,4,2,3,6,9,2,1,2,0
3051001-rj1,9,10,4,4,2,16,2,6,6,9,28,6,4,0
4221067-tg167,8,15,6,4,4,13,7,8,7,11,5,6,3,0
1011024-ct24,5,5,64,8,2,0,1,1,4,3,0,0,0,0
1011018-ct18,14,15,8,0,12,9,11,10,1,0,10,2,0,0
3051033-rj33,8,11,5,4,3,3,28,1,4,14,1,4,2,0
3072049-rj99,12,12,4,6,3,2,6,4,8,14,7,3,5,0
3072023-rj73,7,10,7,2,5,3,16,1,4,16,0,0,1,0
1011001-ct1,15,14,9,2,10,9,2,1,4,4,0,0,0,0
4231084-tg184,6,5,4,2,2,0,21,1,15,3,0,3,0,0
1011019-ct19,6,5,37,2,2,0,1,1,4,3,0,0,0,0
1011011-ct11,5,5,33,5,2,1,1,1,4,3,0,0,0,0
3051025-rj25,4,1,17,20,2,5,0,0,0,2,1,2,0,0
1011023-ct23,5,5,28,2,2,0,1,1,4,3,0,0,0,0
3072050-rj100,6,5,5,2,2,0,20,1,4,3,0,0,1,0
3072015-rj65,5,5,4,2,2,0,1,23,4,3,0,0,0,0
1011003-ct3,0,0,43,1,0,0,0,0,0,0,1,0,0,0
4231023-tg123,13,10,2,1,0,3,3,2,1,1,2,3,3,0
2031020-mz20,4,0,24,0,3,0,0,2,2,3,0,2,0,0
3051006-rj6,7,5,4,2,2,0,5,1,4,3,1,1,0,0
3072026-rj76,5,5,7,2,5,1,2,1,4,3,0,0,0,0
3051032-rj32,5,5,5,5,3,1,1,1,4,4,1,0,0,0
3051030-rj30,5,5,4,2,2,1,4,1,4,4,2,0,0,0
4152002-tg202,9,5,7,2,2,0,1,1,4,3,0,0,0,0
3072024-rj74,7,7,4,2,2,2,1,1,4,3,0,0,0,0
4141008-tg108,5,5,5,2,4,0,1,1,4,4,1,0,0,0
4231065-tg165,5,6,4,2,2,3,1,1,5,3,0,0,0,0
1011022-ct22,5,5,7,2,2,0,1,1,4,3,0,0,0,0
3072012-rj62,5,6,4,2,2,0,2,1,4,4,0,0,0,0
3051050-rj50,5,5,5,2,2,0,2,1,4,4,0,0,0,0
3072031-rj81,5,5,4,2,2,0,2,1,4,4,0,0,0,0
3072006-rj56,5,5,4,2,2,0,1,1,4,5,0,0,0,0
3072033-rj83,6,5,5,2,2,0,1,1,4,3,0,0,0,0
3072002-rj52,5,5,4,2,2,0,1,1,4,5,0,0,0,0
3072028-rj78,5,5,4,2,2,1,2,1,4,3,0,0,0,0
1011026-ct26,5,5,6,2,2,0,1,1,4,3,0,0,0,0
4221018-tg118,7,5,4,2,2,0,1,1,4,3,0,0,0,0
1011005-ct5,7,5,4,2,2,0,1,1,4,3,0,0,0,0
4141009-tg109,5,5,5,2,2,0,1,1,4,3,0,0,0,0
3051008-rj8,5,5,5,2,2,0,1,1,4,3,0,0,0,0
1011014-ct14,6,5,4,2,2,0,1,1,4,3,0,0,0,0
4231080-tg180,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231046-tg146,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231057-tg157,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231058-tg158,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4221017-tg117,5,5,4,2,2,0,1,1,4,3,0,0,0,0
4231082-tg182,5,5,4,2,2,0,1,1,4,3,0,0,0,0
1011008-ct8,5,5,4,2,2,0,1,1,4,3,0,0,0,0
3072048-rj98,5,5,4,2,2,0,1,1,4,3,0,0,0,0
