school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
4231036-tg136,0,1,0,0,2,0,26,2,0,0
4202004-tg204,0,11,1,0,0,9,0,5,0,0
4231084-tg184,0,8,7,0,0,7,0,0,0,0
4221040-tg140,0,2,1,0,9,2,0,1,0,0
4152012-tg212,0,8,0,0,1,3,1,1,0,0
4141009-tg109,0,3,0,0,0,0,10,0,0,0
4202003-tg203,0,5,0,0,0,2,0,0,0,0
4152013-tg213,0,1,0,0,2,0,0,1,0,0
4231058-tg158,0,0,1,0,1,1,0,1,0,0
4231082-tg182,0,1,0,0,1,0,0,2,0,0
4141008-tg108,1,2,0,0,0,0,0,0,0,0
4183023-tg23,0,0,0,0,1,0,0,1,0,0
4202058-tg258,0,0,0,0,1,0,0,0,0,0
4221067-tg167,0,0,0,0,1,0,0,0,0,0
