school_server_code,AstRoamer_Element_Hunt_Activity,Astroamer_Moon_Track,Astroamer_Planet_Trek_Activity,Food_sharing_tool,Ice,Ration Patterns,ages_puzzle,coins_puzzle,factorisation,policesquad
3051036-rj36,36.2,34.38333333333334,7.041666666666666,0.0,0.0,0.0,24.416666666666668,24.0,24.416666666666668,0.0
3051014-rj14,39.11666666666667,0.0,0.0,39.8125,0.0,11.75,13.844444444444443,5.866666666666666,25.53333333333333,0.0
3051031-rj31,4.633333333333334,0.0,0.0,35.6283950617284,1.3416666666666666,11.566666666666666,4.666666666666667,0.0,4.666666666666667,31.023333333333333
3051025-rj25,0.0,0.0,0.0,35.62314814814815,0.0,0.0,0.0,0.0,0.0,40.50136054421768
3072044-rj94,0.0,0.0,0.0,25.56666666666667,0.0,37.06666666666667,0.0,0.0,0.0,0.0
3051026-rj26,9.54090909090909,0.0,0.0,29.946491228070176,0.0,0.0,0.0,0.0,0.0,18.124242424242425
3051002-rj2,9.916666666666668,0.0,19.35,27.2,0.0,0.0,0.0,0.0,0.0,0.0
3072046-rj96,0.0,0.0,0.0,0.15,0.0,0.0,14.683333333333332,22.283333333333335,17.495833333333337,0.0
3072026-rj76,6.748333333333333,0.0,0.0,25.628333333333337,0.0,0.0,0.8333333333333334,0.0,8.250000000000002,6.615277777777777
3072006-rj56,0.0,0.0,0.0,39.28529411764706,0.0,0.0,0.0,0.0,5.1,0.0
3051044-rj44,25.85,0.0,12.925,4.696969696969697,0.0,0.0,0.0,0.0,0.0,0.0
3072030-rj80,17.4,0.0,0.0,5.333333333333333,0.0,0.0,3.216666666666667,3.216666666666667,3.216666666666667,10.605555555555554
3072032-rj82,19.627272727272725,0.0,0.0,6.284375,0.0,0.0,0.9833333333333333,0.0,0.9833333333333333,14.453174603174599
3051006-rj6,18.555714285714284,5.897222222222222,8.516666666666667,2.716666666666667,0.0,0.0,0.0,0.0,0.0,4.2875000000000005
3072019-rj69,28.933333333333334,9.46111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072002-rj52,21.326041666666665,0.0,0.0,15.591666666666669,0.0,0.0,0.0,0.0,0.0,0.0
3051022-rj22,1.4633333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,35.33111111111111
3072024-rj74,2.2333333333333334,0.0,0.0,12.67719298245614,0.0,0.0,0.0,0.0,0.0,17.272222222222222
3051024-rj24,0.0,0.0,0.0,0.0,0.0,0.0,8.172619047619047,15.191666666666666,6.858333333333335,0.0
3051027-rj27,9.99,0.0,0.0,7.239999999999999,0.0,0.0,0.0,0.0,12.233333333333333,0.0
3072050-rj100,0.0,0.0,0.0,23.7530303030303,0.0,0.0,0.0,0.0,0.24166666666666667,3.70625
3072031-rj81,2.975,0.0,0.0,0.0,0.0,0.0,13.397916666666667,0.0,11.16547619047619,0.0
3072023-rj73,11.232352941176472,0.0,1.8166666666666667,1.6880952380952383,0.0,0.0,0.0,0.0,0.0,12.15722222222222
3072027-rj77,0.0,0.0,0.0,3.76969696969697,0.0,0.0,0.0,0.0,0.0,21.38076923076923
3051032-rj32,11.922222222222222,0.0,0.0,10.834509803921566,1.7333333333333334,0.0,0.0,0.0,0.0,0.0
3051047-rj47,0.0,0.0,0.0,17.84871794871795,0.0,0.0,0.0,0.0,0.0,3.566666666666667
3051049-rj49,10.549603174603174,6.122222222222223,0.0,1.1583333333333334,0.0,0.0,0.0,0.0,0.15833333333333333,1.575
3051030-rj30,0.0,0.0,0.0,19.22105263157895,0.0,0.0,0.0,0.0,0.0,0.0
3051001-rj1,3.3233333333333333,0.0,0.0,13.275757575757575,0.0,0.0,0.5,0.0,0.5,0.0
3072041-rj91,0.0,0.0,0.0,16.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0
3072035-rj85,0.0,0.0,0.0,16.212962962962965,0.0,0.0,0.0,0.0,0.0,0.0
3072047-rj97,0.0,0.0,0.0,7.8500000000000005,7.8500000000000005,0.0,0.0,0.0,0.05,0.0
3051010-rj10,4.716666666666667,0.0,0.0,8.966666666666667,0.0,0.0,0.0,0.0,0.0,0.0
3072028-rj78,0.7833333333333333,0.0,0.0,12.781132075471698,0.0,0.0,0.0,0.0,0.0,0.0
3072034-rj84,0.0,0.0,0.0,13.3625,0.0,0.0,0.0,0.0,0.0,0.0
3072008-rj58,0.0,0.0,0.0,13.32962962962963,0.0,0.0,0.0,0.0,0.0,0.0
3072043-rj93,3.8666666666666667,0.0,0.0,2.1166666666666667,0.0,0.0,0.0,0.0,0.0,6.357692307692307
3051015-rj15,10.80888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
